384.7773 	DATA 	Keypress: equal
386.2771 	DATA 	Keypress: equal
387.7803 	DATA 	Keypress: equal
389.2781 	DATA 	Keypress: equal
390.7777 	DATA 	Keypress: equal
392.2965 	DATA 	Keypress: equal
393.7772 	DATA 	Keypress: equal
395.2777 	DATA 	Keypress: equal
395.5916 	DATA 	Keypress: space
395.7441 	EXP 	New trial (rep=0, index=11): OrderedDict([('cue', 'stimsday2details/C38.png')])
395.7739 	EXP 	cueImage: autoDraw = False
395.7739 	EXP 	text: autoDraw = False
395.7739 	EXP 	cueImage: image = 'stimsday2details/C38.png'
395.7739 	EXP 	cueImage: autoDraw = True
395.7739 	EXP 	text: autoDraw = True
396.7772 	DATA 	Keypress: equal
398.2773 	DATA 	Keypress: equal
399.7771 	DATA 	Keypress: equal
401.2771 	DATA 	Keypress: equal
402.7771 	DATA 	Keypress: equal
404.2765 	DATA 	Keypress: equal
405.7770 	DATA 	Keypress: equal
407.2771 	DATA 	Keypress: equal
408.7795 	DATA 	Keypress: equal
410.2765 	DATA 	Keypress: equal
411.7790 	DATA 	Keypress: equal
413.2760 	DATA 	Keypress: equal
414.7767 	DATA 	Keypress: equal
415.1758 	DATA 	Keypress: space
415.3747 	EXP 	cueImage: autoDraw = False
415.3747 	EXP 	text: autoDraw = False
415.6446 	EXP 	window1: mouseVisible = True
