464.1955 	DATA 	Keypress: equal
465.6954 	DATA 	Keypress: equal
467.1927 	DATA 	Keypress: equal
468.6905 	DATA 	Keypress: equal
469.6450 	DATA 	Keypress: space
469.7782 	EXP 	New trial (rep=0, index=11): OrderedDict([('cue', 'stimsday2details/C38.png')])
469.7936 	EXP 	cueImage: autoDraw = False
469.7936 	EXP 	text: autoDraw = False
469.7936 	EXP 	cueImage: image = 'stimsday2details/C38.png'
469.7936 	EXP 	cueImage: autoDraw = True
469.7936 	EXP 	text: autoDraw = True
470.1906 	DATA 	Keypress: equal
471.6945 	DATA 	Keypress: equal
473.1906 	DATA 	Keypress: equal
474.6904 	DATA 	Keypress: equal
476.1949 	DATA 	Keypress: equal
477.6916 	DATA 	Keypress: equal
479.1955 	DATA 	Keypress: equal
480.7004 	DATA 	Keypress: equal
482.1954 	DATA 	Keypress: equal
483.6956 	DATA 	Keypress: equal
485.1943 	DATA 	Keypress: equal
486.6956 	DATA 	Keypress: equal
488.1906 	DATA 	Keypress: equal
489.6955 	DATA 	Keypress: equal
491.1904 	DATA 	Keypress: equal
492.6953 	DATA 	Keypress: equal
494.1955 	DATA 	Keypress: equal
495.6908 	DATA 	Keypress: equal
497.1912 	DATA 	Keypress: equal
498.6907 	DATA 	Keypress: equal
500.1994 	DATA 	Keypress: equal
501.6948 	DATA 	Keypress: equal
503.1946 	DATA 	Keypress: equal
504.6906 	DATA 	Keypress: equal
506.1907 	DATA 	Keypress: equal
507.1783 	DATA 	Keypress: space
507.3718 	EXP 	cueImage: autoDraw = False
507.3718 	EXP 	text: autoDraw = False
507.6441 	EXP 	window1: mouseVisible = True
