372.6067 	DATA 	Keypress: equal
374.1061 	DATA 	Keypress: equal
375.6016 	DATA 	Keypress: equal
377.1018 	DATA 	Keypress: equal
378.6021 	DATA 	Keypress: equal
380.1022 	DATA 	Keypress: equal
381.6065 	DATA 	Keypress: equal
383.1063 	DATA 	Keypress: equal
384.6054 	DATA 	Keypress: equal
386.1059 	DATA 	Keypress: equal
387.6019 	DATA 	Keypress: equal
389.1017 	DATA 	Keypress: equal
390.6057 	DATA 	Keypress: equal
392.1014 	DATA 	Keypress: equal
393.6013 	DATA 	Keypress: equal
395.1013 	DATA 	Keypress: equal
396.6014 	DATA 	Keypress: equal
398.1014 	DATA 	Keypress: equal
399.6059 	DATA 	Keypress: equal
401.1055 	DATA 	Keypress: equal
402.6011 	DATA 	Keypress: equal
404.1014 	DATA 	Keypress: equal
405.6016 	DATA 	Keypress: equal
407.1059 	DATA 	Keypress: equal
407.5841 	DATA 	Keypress: space
407.7286 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue', 'stimsday2details/C22.png')])
407.7499 	EXP 	cueImage: autoDraw = False
407.7499 	EXP 	text: autoDraw = False
407.7499 	EXP 	cueImage: image = 'stimsday2details/C22.png'
407.7499 	EXP 	cueImage: autoDraw = True
407.7499 	EXP 	text: autoDraw = True
408.6020 	DATA 	Keypress: equal
410.1053 	DATA 	Keypress: equal
411.6062 	DATA 	Keypress: equal
413.1057 	DATA 	Keypress: equal
414.6054 	DATA 	Keypress: equal
416.1050 	DATA 	Keypress: equal
417.6008 	DATA 	Keypress: equal
419.1008 	DATA 	Keypress: equal
420.6013 	DATA 	Keypress: equal
422.1061 	DATA 	Keypress: equal
423.6046 	DATA 	Keypress: equal
425.1010 	DATA 	Keypress: equal
426.6010 	DATA 	Keypress: equal
428.1011 	DATA 	Keypress: equal
429.6008 	DATA 	Keypress: equal
431.1005 	DATA 	Keypress: equal
432.6011 	DATA 	Keypress: equal
434.1006 	DATA 	Keypress: equal
435.6014 	DATA 	Keypress: equal
437.1011 	DATA 	Keypress: equal
438.6009 	DATA 	Keypress: equal
440.1010 	DATA 	Keypress: equal
441.6004 	DATA 	Keypress: equal
443.1004 	DATA 	Keypress: equal
444.6010 	DATA 	Keypress: equal
446.1001 	DATA 	Keypress: equal
447.6003 	DATA 	Keypress: equal
449.1010 	DATA 	Keypress: equal
450.6000 	DATA 	Keypress: equal
452.1001 	DATA 	Keypress: equal
453.6000 	DATA 	Keypress: equal
455.1003 	DATA 	Keypress: equal
456.5997 	DATA 	Keypress: equal
458.1048 	DATA 	Keypress: equal
459.6050 	DATA 	Keypress: equal
461.1045 	DATA 	Keypress: equal
462.6000 	DATA 	Keypress: equal
464.0999 	DATA 	Keypress: equal
465.6001 	DATA 	Keypress: equal
467.0999 	DATA 	Keypress: equal
468.5999 	DATA 	Keypress: equal
470.0997 	DATA 	Keypress: equal
471.6042 	DATA 	Keypress: equal
473.1000 	DATA 	Keypress: equal
474.6002 	DATA 	Keypress: equal
474.7670 	DATA 	Keypress: space
474.9157 	EXP 	New trial (rep=0, index=8): OrderedDict([('cue', 'stimsday2details/C29.png')])
474.9325 	EXP 	cueImage: autoDraw = False
474.9325 	EXP 	text: autoDraw = False
474.9325 	EXP 	cueImage: image = 'stimsday2details/C29.png'
474.9325 	EXP 	cueImage: autoDraw = True
474.9325 	EXP 	text: autoDraw = True
476.1042 	DATA 	Keypress: equal
477.6001 	DATA 	Keypress: equal
479.1002 	DATA 	Keypress: equal
480.6044 	DATA 	Keypress: equal
482.0998 	DATA 	Keypress: equal
483.6048 	DATA 	Keypress: equal
485.1044 	DATA 	Keypress: equal
486.6041 	DATA 	Keypress: equal
488.1002 	DATA 	Keypress: equal
489.6001 	DATA 	Keypress: equal
491.1041 	DATA 	Keypress: equal
492.5997 	DATA 	Keypress: equal
494.1048 	DATA 	Keypress: equal
495.6043 	DATA 	Keypress: equal
497.1046 	DATA 	Keypress: equal
498.6047 	DATA 	Keypress: equal
500.1000 	DATA 	Keypress: equal
501.6037 	DATA 	Keypress: equal
503.1051 	DATA 	Keypress: equal
504.6043 	DATA 	Keypress: equal
506.1000 	DATA 	Keypress: equal
507.6006 	DATA 	Keypress: equal
509.1046 	DATA 	Keypress: equal
510.6006 	DATA 	Keypress: equal
512.1032 	DATA 	Keypress: equal
513.6047 	DATA 	Keypress: equal
515.1049 	DATA 	Keypress: equal
516.6001 	DATA 	Keypress: equal
518.1002 	DATA 	Keypress: equal
519.6003 	DATA 	Keypress: equal
521.1002 	DATA 	Keypress: equal
522.6003 	DATA 	Keypress: equal
524.0994 	DATA 	Keypress: equal
525.6035 	DATA 	Keypress: equal
527.1035 	DATA 	Keypress: equal
528.6045 	DATA 	Keypress: equal
530.1045 	DATA 	Keypress: equal
530.4201 	DATA 	Keypress: space
530.5667 	EXP 	New trial (rep=0, index=9): OrderedDict([('cue', 'stimsday2details/C6.png')])
530.5815 	EXP 	cueImage: autoDraw = False
530.5815 	EXP 	text: autoDraw = False
530.5815 	EXP 	cueImage: image = 'stimsday2details/C6.png'
530.5815 	EXP 	cueImage: autoDraw = True
530.5815 	EXP 	text: autoDraw = True
531.5992 	DATA 	Keypress: equal
533.0993 	DATA 	Keypress: equal
534.5992 	DATA 	Keypress: equal
536.1039 	DATA 	Keypress: equal
537.5994 	DATA 	Keypress: equal
539.0993 	DATA 	Keypress: equal
540.5994 	DATA 	Keypress: equal
542.0992 	DATA 	Keypress: equal
543.5994 	DATA 	Keypress: equal
545.0992 	DATA 	Keypress: equal
546.5992 	DATA 	Keypress: equal
548.0993 	DATA 	Keypress: equal
549.5990 	DATA 	Keypress: equal
551.0994 	DATA 	Keypress: equal
552.5991 	DATA 	Keypress: equal
554.1042 	DATA 	Keypress: equal
555.6044 	DATA 	Keypress: equal
557.0994 	DATA 	Keypress: equal
558.5992 	DATA 	Keypress: equal
560.0991 	DATA 	Keypress: equal
561.5993 	DATA 	Keypress: equal
563.1042 	DATA 	Keypress: equal
564.6041 	DATA 	Keypress: equal
566.1030 	DATA 	Keypress: equal
567.5994 	DATA 	Keypress: equal
569.0992 	DATA 	Keypress: equal
570.5996 	DATA 	Keypress: equal
572.1033 	DATA 	Keypress: equal
573.6035 	DATA 	Keypress: equal
575.1031 	DATA 	Keypress: equal
576.6034 	DATA 	Keypress: equal
578.1037 	DATA 	Keypress: equal
579.6039 	DATA 	Keypress: equal
581.1032 	DATA 	Keypress: equal
582.6035 	DATA 	Keypress: equal
584.1031 	DATA 	Keypress: equal
585.5996 	DATA 	Keypress: equal
587.1030 	DATA 	Keypress: equal
587.6871 	DATA 	Keypress: space
587.8316 	EXP 	New trial (rep=0, index=10): OrderedDict([('cue', 'stimsday2details/C28.png')])
587.8471 	EXP 	cueImage: autoDraw = False
587.8471 	EXP 	text: autoDraw = False
587.8471 	EXP 	cueImage: image = 'stimsday2details/C28.png'
587.8471 	EXP 	cueImage: autoDraw = True
587.8471 	EXP 	text: autoDraw = True
588.5995 	DATA 	Keypress: equal
590.0997 	DATA 	Keypress: equal
591.5994 	DATA 	Keypress: equal
593.0995 	DATA 	Keypress: equal
594.5983 	DATA 	Keypress: equal
596.0934 	DATA 	Keypress: equal
597.5924 	DATA 	Keypress: equal
599.0931 	DATA 	Keypress: equal
600.6036 	DATA 	Keypress: equal
602.0982 	DATA 	Keypress: equal
603.5993 	DATA 	Keypress: equal
605.0985 	DATA 	Keypress: equal
606.5986 	DATA 	Keypress: equal
608.0989 	DATA 	Keypress: equal
609.5987 	DATA 	Keypress: equal
611.0986 	DATA 	Keypress: equal
612.6022 	DATA 	Keypress: equal
614.1037 	DATA 	Keypress: equal
615.6032 	DATA 	Keypress: equal
617.0985 	DATA 	Keypress: equal
618.5983 	DATA 	Keypress: equal
620.1032 	DATA 	Keypress: equal
621.6024 	DATA 	Keypress: equal
623.0985 	DATA 	Keypress: equal
624.5989 	DATA 	Keypress: equal
626.1028 	DATA 	Keypress: equal
627.6029 	DATA 	Keypress: equal
629.0987 	DATA 	Keypress: equal
630.6034 	DATA 	Keypress: equal
632.0984 	DATA 	Keypress: equal
633.5983 	DATA 	Keypress: equal
635.1029 	DATA 	Keypress: equal
636.6022 	DATA 	Keypress: equal
638.0985 	DATA 	Keypress: equal
639.5983 	DATA 	Keypress: equal
641.0986 	DATA 	Keypress: equal
642.5986 	DATA 	Keypress: equal
644.0986 	DATA 	Keypress: equal
645.5987 	DATA 	Keypress: equal
647.0989 	DATA 	Keypress: equal
648.5986 	DATA 	Keypress: equal
650.0983 	DATA 	Keypress: equal
651.5905 	DATA 	Keypress: equal
653.0908 	DATA 	Keypress: equal
654.5907 	DATA 	Keypress: equal
654.7705 	DATA 	Keypress: space
