,sub_num,wed_id,onset_recall2,offset_recall2,wed_class,wed_view_num,onset_videos,offset_videos,path
300,30,38,0,29,S,0,12,90,SA
301,30,17,29,62,N,2,207,279,NB
302,30,2,62,95,S,7,687,759,SB
303,30,1,95,116,N,5,495,567,NA
304,30,19,116,155,N,10,976,1048,NB
305,30,28,155,182,S,4,398,471,SB
306,30,20,182,209,N,1,111,183,NB
307,30,6,209,230,S,11,1074,1152,SB
308,30,23,230,245,N,9,879,952,NA
309,30,29,245,286,S,8,783,856,SA
310,30,22,286,319,S,3,303,375,SA
311,30,34,319,-1,N,6,591,663,NA
312,31,29,0,18,N,2,207,279,NA
313,31,34,18,44,S,8,783,856,SA
314,31,22,44,58,N,5,495,567,NB
315,31,17,58,86,S,0,12,90,SB
316,31,19,86,110,N,9,879,952,NA
317,31,6,110,130,S,11,1074,1152,SB
318,31,28,130,147,N,6,591,663,NB
319,31,23,147,159,N,10,976,1048,NA
320,31,1,159,191,S,4,398,471,SB
321,31,20,191,207,S,7,687,759,SA
322,31,2,207,228,N,1,111,183,NB
323,31,38,228,-1,S,3,303,375,SA
324,32,1,0,21,N,10,976,1048,NB
325,32,2,21,41,S,4,398,471,SB
326,32,34,41,60,N,1,111,183,NA
327,32,23,60,77,N,6,591,663,NA
328,32,6,77,103,S,8,783,856,SA
329,32,29,103,115,S,0,12,90,SA
330,32,28,115,130,N,9,879,952,NB
331,32,20,130,145,S,3,303,375,SB
332,32,17,145,160,N,2,207,279,NA
333,32,38,160,179,S,7,687,759,SA
334,32,19,179,191,N,5,495,567,NB
335,32,22,191,-1,S,11,1074,1152,SB
336,33,22,0,40,S,8,783,856,SB
337,33,19,40,83,S,11,1074,1152,SB
338,33,2,83,150,N,6,591,663,NA
339,33,28,150,213,N,2,207,279,NA
340,33,6,213,254,S,4,398,471,SA
341,33,17,254,288,S,7,687,759,SA
342,33,29,288,325,N,10,976,1048,NB
343,33,34,325,371,S,3,303,375,SA
344,33,38,371,403,N,9,879,952,NB
345,33,23,403,443,S,0,12,90,SB
346,33,1,443,478,N,1,111,183,NA
347,33,20,478,-1,N,5,495,567,NB
348,34,28,0,37,S,0,12,90,SA
349,34,22,37,96,S,4,398,471,SA
350,34,29,96,135,N,6,591,663,NB
351,34,19,135,190,N,9,879,952,NA
352,34,23,190,234,S,11,1074,1152,SB
353,34,38,234,278,S,7,687,759,SA
354,34,6,278,315,N,1,111,183,NA
355,34,2,315,366,N,5,495,567,NA
356,34,34,366,411,S,8,783,856,SB
357,34,20,411,444,S,3,303,375,SB
358,34,1,444,483,N,2,207,279,NB
359,34,17,483,-1,N,10,976,1048,NB
360,35,17,0,48,N,6,591,663,NA
361,35,1,48,119,S,0,12,90,SA
362,35,34,119,181,N,10,976,1048,NB
363,35,2,181,243,S,3,303,375,SB
364,35,20,243,312,S,11,1074,1152,SB
365,35,38,312,382,N,5,495,567,NA
366,35,23,382,427,N,1,111,183,NA
367,35,6,427,487,S,4,398,471,SA
368,35,22,487,548,S,8,783,856,SB
369,35,29,548,632,N,2,207,279,NB
370,35,19,632,696,S,7,687,759,SA
371,35,28,696,-1,N,9,879,952,NB
372,36,22,0,26,S,7,687,759,SA
373,36,23,26,45,S,4,398,471,SB
374,36,38,45,65,N,9,879,952,NA
375,36,28,65,96,N,6,591,663,NA
376,36,29,96,134,N,10,976,1048,NA
377,36,19,134,171,N,5,495,567,NB
378,36,20,171,217,S,11,1074,1152,SA
379,36,6,217,252,S,3,303,375,SA
380,36,34,252,292,S,8,783,856,SB
381,36,2,292,317,S,0,12,90,SB
382,36,1,317,361,N,2,207,279,NB
383,36,17,361,-1,N,1,111,183,NB
384,37,22,0,34,,-99,-99,-99,N/A
385,37,29,34,94,,-99,-99,-99,N/A
386,37,2,94,130,,-99,-99,-99,N/A
387,37,23,130,182,,-99,-99,-99,N/A
388,37,17,182,246,,-99,-99,-99,N/A
389,37,6,246,298,,-99,-99,-99,N/A
390,37,1,298,339,,-99,-99,-99,N/A
391,37,19,339,428,,-99,-99,-99,N/A
392,37,20,428,523,,-99,-99,-99,N/A
393,37,38,523,584,,-99,-99,-99,N/A
394,37,34,584,644,,-99,-99,-99,N/A
395,37,28,644,-1,,-99,-99,-99,N/A
396,38,6,0,18,N,9,879,952,NA
397,38,2,18,40,S,4,398,471,SA
398,38,34,40,67,S,11,1074,1152,SB
399,38,17,67,87,N,6,591,663,NA
400,38,28,87,113,N,10,976,1048,NA
401,38,38,113,133,S,7,687,759,SB
402,38,23,133,146,S,0,12,90,SB
403,38,20,146,178,S,8,783,856,SA
404,38,22,178,200,S,3,303,375,SA
405,38,19,200,229,N,5,495,567,NB
406,38,29,229,250,N,1,111,183,NB
407,38,1,250,-1,N,2,207,279,NB
408,39,22,0,36,,-99,-99,-99,N/A
409,39,1,36,60,,-99,-99,-99,N/A
410,39,17,60,89,,-99,-99,-99,N/A
411,39,19,89,110,,-99,-99,-99,N/A
412,39,28,110,128,,-99,-99,-99,N/A
413,39,23,128,160,,-99,-99,-99,N/A
414,39,6,160,175,,-99,-99,-99,N/A
415,39,38,175,192,,-99,-99,-99,N/A
416,39,34,192,216,,-99,-99,-99,N/A
417,39,2,216,234,,-99,-99,-99,N/A
418,39,29,234,254,,-99,-99,-99,N/A
419,39,20,254,-1,,-99,-99,-99,N/A
420,40,23,0,33,S,7,687,759,SB
421,40,22,33,58,S,3,303,375,SB
422,40,19,58,81,S,11,1074,1152,SB
423,40,34,81,103,N,9,879,952,NA
424,40,6,103,122,S,0,12,90,SA
425,40,20,122,138,S,8,783,856,SA
426,40,28,138,168,N,2,207,279,NB
427,40,38,168,187,N,10,976,1048,NB
428,40,17,187,214,S,4,398,471,SA
429,40,2,214,241,N,6,591,663,NA
430,40,29,241,271,N,5,495,567,NB
431,40,1,271,-1,N,1,111,183,NA
432,41,20,0,38,S,7,687,759,SB
433,41,19,38,64,N,6,591,663,NB
434,41,6,64,85,N,1,111,183,NA
435,41,28,85,117,N,10,976,1048,NB
436,41,38,117,135,S,4,398,471,SA
437,41,1,135,164,N,5,495,567,NA
438,41,2,164,189,S,11,1074,1152,SB
439,41,22,189,225,N,2,207,279,NB
440,41,23,225,246,S,8,783,856,SA
441,41,29,246,282,N,9,879,952,NA
442,41,17,282,304,S,0,12,90,SA
443,41,34,304,-1,S,3,303,375,SB
444,42,29,0,27,S,11,1074,1152,SB
445,42,19,27,56,N,6,591,663,NB
446,42,20,56,91,S,0,12,90,SA
447,42,6,91,115,N,9,879,952,NB
448,42,22,115,142,N,10,976,1048,NA
449,42,2,142,167,N,2,207,279,NB
450,42,23,167,194,S,7,687,759,SB
451,42,1,194,229,N,5,495,567,NA
452,42,34,229,257,S,3,303,375,SA
453,42,28,257,279,N,1,111,183,NA
454,42,17,279,300,S,4,398,471,SA
455,42,38,300,-1,S,8,783,856,SB
456,43,17,0,69,N,5,495,567,NA
457,43,38,69,150,N,6,591,663,NB
458,43,2,150,242,S,0,12,90,SA
459,43,19,242,332,N,2,207,279,NA
460,43,20,332,416,S,3,303,375,SB
461,43,1,416,501,S,7,687,759,SA
462,43,6,501,572,N,10,976,1048,NB
463,43,34,572,653,S,4,398,471,SA
464,43,29,653,748,N,1,111,183,NB
465,43,23,748,818,N,9,879,952,NA
466,43,22,818,910,S,11,1074,1152,SB
467,43,28,910,-1,S,8,783,856,SB
