,sub_num,wed_id,onset_TR,offset_TR,wed_class
211,22,1,154,172,N
212,22,19,172,204,S
213,22,28,204,229,S
214,22,6,229,245,N
215,22,38,245,-1,N
216,23,20,0,32,N
217,23,28,32,74,S
218,23,34,74,101,N
219,23,17,101,119,N
220,23,6,119,165,N
221,23,2,165,209,S
222,23,23,209,253,N
223,23,38,253,275,S
224,23,29,275,305,S
225,23,19,305,333,S
226,23,22,333,350,N
227,23,1,350,-1,S
228,24,22,0,73,S
229,24,28,73,137,N
230,24,2,137,232,S
231,24,34,232,301,S
232,24,23,301,395,N
233,24,17,395,485,N
234,24,29,485,569,N
235,24,19,569,679,S
236,24,20,679,728,N
237,24,1,728,823,N
238,24,6,823,919,S
239,24,38,919,-1,S
240,25,19,0,24,N
241,25,17,24,66,S
242,25,1,66,110,S
243,25,28,110,144,N
244,25,23,144,172,S
245,25,34,172,197,S
246,25,20,197,221,S
247,25,2,221,247,S
248,25,29,247,266,N
249,25,38,266,285,N
250,25,22,285,305,N
251,25,6,305,-1,N
252,26,17,0,39,N
253,26,1,39,83,S
254,26,34,83,116,N
255,26,2,116,145,S
256,26,38,145,170,N
257,26,29,170,204,S
258,26,28,204,235,S
259,26,19,235,272,S
260,26,6,272,301,N
261,26,23,301,332,N
262,26,22,332,376,S
263,26,20,376,-1,N
264,27,17,0,23,S
265,27,22,23,36,S
266,27,2,36,52,N
267,27,23,52,72,S
268,27,38,72,91,S
269,27,1,91,109,N
270,27,28,109,124,N
271,27,29,124,164,N
272,27,34,164,180,N
273,27,6,180,203,S
274,27,20,203,258,S
275,27,19,258,-1,N
276,28,23,0,31,N
277,28,19,31,65,N
278,28,2,65,96,S
279,28,34,96,118,S
280,28,20,118,160,N
281,28,6,160,204,S
282,28,28,204,242,N
283,28,22,242,303,S
284,28,17,303,337,N
285,28,38,337,389,S
286,28,1,389,418,N
287,28,29,418,-1,S
288,29,6,0,40,S
289,29,20,40,83,S
290,29,22,83,134,S
291,29,38,134,178,N
292,29,23,178,205,S
293,29,34,205,247,N
294,29,1,247,303,S
295,29,28,303,336,N
296,29,2,336,374,N
297,29,17,374,408,N
298,29,29,408,440,S
299,29,19,440,-1,N
300,30,38,0,29,S
301,30,17,29,62,N
302,30,2,62,95,S
303,30,1,95,116,N
304,30,19,116,155,N
305,30,28,155,182,S
306,30,20,182,209,N
307,30,6,209,230,S
308,30,23,230,245,N
309,30,29,245,286,S
310,30,22,286,319,S
311,30,34,319,-1,N
312,31,29,0,18,N
313,31,34,18,44,S
314,31,22,44,58,N
315,31,17,58,86,S
316,31,19,86,110,N
317,31,6,110,130,S
318,31,28,130,147,N
319,31,23,147,159,N
320,31,1,159,191,S
321,31,20,191,207,S
322,31,2,207,228,N
323,31,38,228,-1,S
324,32,1,0,21,N
